sentiment,emotion,urgency,topic,risk_indicator,customer_id
Neutral,Confusion,0.8,Service Information,False,67
Neutral,Confusion,0.6,Technical Support,False,68
Positive,Satisfaction,0.2,Service Information,False,69
Negative,Frustration,1.0,Complaint,True,70
Neutral,Confusion,0.7,Service Information,False,71
Positive,Gratitude,0.6,Service Information,False,72
Neutral,Neutral,0.5,Technical Support,False,73
Neutral,Confusion,0.6,Technical Support,False,74
Negative,Confusion,0.7,Technical Support,False,75
Neutral,Confusion,0.7,Service Information,False,76
Neutral,Confusion,0.4,Service Information,False,77
Positive,Satisfaction,0.3,Service Information,False,78
Positive,Satisfaction,0.3,Service Information,False,79
Positive,Gratitude,0.0,Service Information,False,80
Positive,Gratitude,0.3,Service Information,False,81
Negative,Frustration,0.8,Technical Support,True,82
Positive,Satisfaction,0.7,Service Information,False,83
Positive,Gratitude,0.0,Service Information,False,84
Positive,Satisfaction,0.3,Service Information,False,85
Positive,Satisfaction,0.3,Service Information,False,86
Neutral,Neutral,0.5,Technical Support,False,87
Neutral,Confusion,0.7,Service Information,False,88
Negative,Anger,1.0,Complaint,True,89
Positive,Neutral,0.8,Service Information,False,90
Negative,Frustration,0.8,Technical Support,True,91
Neutral,Gratitude,0.0,Service Information,False,92
Positive,Satisfaction,0.5,Service Information,False,93
Positive,Gratitude,0.4,Service Information,False,94
Negative,Frustration,0.8,Complaint,True,95
Neutral,Confusion,0.6,Service Information,False,96
Negative,Frustration,0.9,Technical Support,False,97
Neutral,Neutral,0.5,Technical Support,False,98
Positive,Satisfaction,0.2,Service Information,False,99
Neutral,Neutral,0.5,Technical Support,False,100
Neutral,Neutral,0.3,Service Information,False,101
Neutral,Confusion,0.5,Service Information,False,102
Positive,Satisfaction,0.5,Service Information,False,103
Positive,Neutral,0.7,Service Information,False,104
Negative,Frustration,0.8,Complaint,True,105
Neutral,Confusion,0.5,Technical Support,False,106
Negative,Frustration,0.8,Technical Support,True,107
Neutral,Neutral,0.0,Other,False,108
Positive,Satisfaction,0.5,Technical Support,False,109
Neutral,Neutral,0.5,Technical Support,False,110
Positive,Gratitude,0.2,Service Information,False,111
Positive,Satisfaction,0.7,Service Information,False,112
Neutral,Confusion,0.7,Service Information,False,113
Neutral,Confusion,0.6,Technical Support,False,114
Neutral,Satisfaction,0.3,Service Information,False,115
Negative,Frustration,0.8,Complaint,False,116
Positive,Neutral,0.7,Service Information,False,117
Positive,Satisfaction,0.5,Service Information,False,118
Neutral,Confusion,0.7,Technical Support,False,119
Positive,Neutral,0.5,Service Information,False,120
Neutral,Confusion,0.6,Technical Support,False,121
Negative,Anger,0.8,Technical Support,True,122
Neutral,Neutral,0.5,Technical Support,False,123
Positive,Gratitude,0.3,Service Information,False,124
Neutral,Neutral,0.5,Complaint,True,125
Positive,Gratitude,0.5,Service Information,False,126
Positive,Gratitude,0.3,Service Information,False,127
Neutral,Confusion,0.5,Other,False,128
Neutral,Confusion,0.5,Service Information,False,129
Neutral,Confusion,0.7,Technical Support,False,130
Positive,Satisfaction,0.2,Service Information,False,131
Positive,Satisfaction,0.7,Service Information,False,132
Negative,Frustration,0.7,Complaint,True,133
Neutral,Confusion,0.6,Technical Support,False,134
Negative,Frustration,0.7,Complaint,True,135
Positive,Satisfaction,0.2,Service Information,False,136
Neutral,Confusion,0.3,Service Information,False,137
Neutral,Confusion,0.7,Service Information,False,138
Neutral,Neutral,0.4,Service Information,False,139
Negative,Frustration,0.8,Complaint,True,140
Neutral,Confusion,0.6,Technical Support,False,141
Neutral,Confusion,0.7,Service Information,False,142
Positive,Satisfaction,0.4,Service Information,False,143
Negative,Frustration,0.7,Complaint,True,144
Positive,Satisfaction,0.3,Service Information,False,145
Neutral,Confusion,0.6,Technical Support,False,146
Neutral,Confusion,0.8,Service Information,False,147
Neutral,Confusion,0.7,Technical Support,False,148
Neutral,Confusion,0.6,Technical Support,False,149
Positive,Satisfaction,0.5,Service Information,False,150
Positive,Gratitude,0.8,Billing,False,151
Positive,Neutral,0.7,Service Information,False,152
Neutral,Confusion,0.6,Technical Support,False,153
Negative,Frustration,0.6,Service Information,False,154
Neutral,Confusion,0.6,Service Information,False,155
Negative,Frustration,0.7,Complaint,True,156
Neutral,Confusion,0.7,Technical Support,False,157
Neutral,Confusion,0.6,Service Information,False,158
Neutral,Confusion,0.6,Technical Support,False,159
Neutral,Confusion,0.6,Technical Support,False,160
Positive,Neutral,0.8,Service Information,False,161
Positive,Gratitude,0.0,Service Information,False,162
Positive,Satisfaction,0.8,Service Information,False,163
Negative,Frustration,0.8,Technical Support,True,164
Positive,Gratitude,0.6,Service Information,False,165
Neutral,Confusion,0.7,Service Information,False,166
Neutral,Confusion,0.5,Service Information,False,167
Positive,Satisfaction,0.3,Service Information,False,168
Negative,Frustration,0.8,Complaint,True,169
Positive,Neutral,0.2,Service Information,False,170
Positive,Gratitude,0.3,Service Information,False,171
Negative,Frustration,0.8,Complaint,True,172
Neutral,Frustration,0.8,Complaint,True,173
Neutral,Confusion,0.7,Billing,True,174
Neutral,Neutral,0.5,Service Information,False,175
Neutral,Confusion,0.3,Service Information,False,176
Positive,Satisfaction,0.7,Service Information,False,177
Neutral,Confusion,0.6,Service Information,False,178
Negative,Frustration,0.8,Complaint,True,179
Neutral,Confusion,0.6,Technical Support,False,180
Negative,Frustration,0.7,Complaint,True,181
Positive,Satisfaction,0.6,Service Information,False,182
Positive,Gratitude,0.4,Service Information,False,183
Neutral,Confusion,0.6,Service Information,False,184
Positive,Satisfaction,0.2,Service Information,False,185
Negative,Frustration,0.8,Complaint,True,186
Neutral,Gratitude,0.3,Service Information,False,187
Positive,Satisfaction,0.3,Service Information,False,188
Negative,Frustration,0.9,Complaint,False,189
Neutral,Neutral,0.5,Service Information,False,190
Neutral,Confusion,0.6,Service Information,False,191
Neutral,Confusion,0.7,Service Information,True,192
Negative,Frustration,0.8,Technical Support,True,193
Neutral,Neutral,0.5,Service Information,False,194
Positive,Gratitude,0.4,Service Information,False,195
Negative,Frustration,0.7,Complaint,True,196
Positive,Satisfaction,0.7,Service Information,False,197
Neutral,Confusion,0.6,Technical Support,False,198
Neutral,Confusion,0.7,Service Information,False,199
Neutral,Neutral,0.7,Service Information,False,200
Neutral,Confusion,0.6,Technical Support,False,201
Positive,Satisfaction,0.8,Service Information,False,202
Positive,Satisfaction,0.3,Service Information,False,203
Neutral,Confusion,0.6,Technical Support,False,204
Positive,Satisfaction,0.5,Service Information,False,205
Neutral,Confusion,0.7,Technical Support,False,206
Neutral,Neutral,0.5,Service Information,False,207
Positive,Gratitude,0.1,Service Information,False,208
Negative,Anger,1.0,Complaint,True,209
Positive,Satisfaction,0.3,Technical Support,False,210
Neutral,Confusion,0.7,Service Information,False,211
Neutral,Confusion,0.5,Service Information,False,212
Neutral,Confusion,0.5,Technical Support,False,213
Positive,Satisfaction,0.2,Service Information,False,214
Negative,Frustration,0.7,Complaint,True,215
Neutral,Confusion,0.6,Technical Support,False,216
Negative,Frustration,0.8,Complaint,True,217
Neutral,Neutral,0.4,Technical Support,False,218
Positive,Satisfaction,0.6,Technical Support,False,219
Neutral,Confusion,0.6,Technical Support,False,220
Positive,Neutral,0.7,Technical Support,False,221
Positive,Satisfaction,0.5,Service Information,False,222
Neutral,Confusion,0.6,Service Information,False,223
Negative,Frustration,0.7,Complaint,False,224
Neutral,Confusion,0.7,Service Information,False,225
Positive,Satisfaction,0.7,Service Information,False,226
Neutral,Neutral,0.5,Billing,False,227
Neutral,Confusion,0.7,Service Information,False,228
Negative,Frustration,0.8,Complaint,True,229
Positive,Gratitude,0.0,Service Information,False,230
Neutral,Confusion,0.8,Service Information,False,231
Positive,Neutral,0.8,Service Information,False,232
Neutral,Neutral,0.3,Service Information,False,233
Positive,Satisfaction,0.4,Service Information,False,234
Neutral,Frustration,0.7,Technical Support,False,235
Neutral,Confusion,0.6,Technical Support,False,236
Neutral,Confusion,0.6,Technical Support,False,237
Neutral,Confusion,0.7,Service Information,False,238
Neutral,Neutral,0.5,Technical Support,False,239
Positive,Satisfaction,0.3,Service Information,False,240
Negative,Frustration,0.9,Complaint,True,241
Neutral,Neutral,0.5,Technical Support,False,242
Neutral,Confusion,0.6,Technical Support,False,243
Positive,Satisfaction,0.8,Service Information,False,244
Neutral,Satisfaction,0.3,Service Information,False,245
Neutral,Confusion,0.6,Service Information,False,246
Positive,Gratitude,0.3,Service Information,False,247
Neutral,Confusion,0.7,Service Information,False,248
Neutral,Neutral,0.5,Technical Support,False,249
Positive,Satisfaction,0.5,Service Information,False,250
Neutral,Confusion,0.6,Technical Support,False,251
Positive,Satisfaction,0.3,Service Information,False,252
Negative,Frustration,0.9,Complaint,True,253
Neutral,Confusion,0.6,Service Information,False,254
Neutral,Confusion,0.7,Service Information,False,255
Neutral,Neutral,0.7,Complaint,False,256
Positive,Neutral,0.6,Service Information,False,257
Neutral,Confusion,0.6,Service Information,False,258
Neutral,Frustration,0.9,Service Information,False,259
Neutral,Confusion,0.7,Service Information,True,260
Negative,Frustration,0.6,Service Information,False,261
Positive,Satisfaction,0.2,Service Information,False,262
Positive,Satisfaction,0.7,Service Information,False,263
Negative,Frustration,0.7,Complaint,True,264
Negative,Frustration,0.8,Billing,True,265
Positive,Satisfaction,0.4,Service Information,False,266
Positive,Gratitude,0.0,Service Information,False,267
Neutral,Confusion,0.7,Technical Support,False,268
Positive,Satisfaction,0.8,Service Information,False,269
Positive,Neutral,0.6,Service Information,False,270
Neutral,Confusion,0.7,Service Information,False,271
Neutral,Confusion,0.6,Service Information,False,272
Neutral,Confusion,0.6,Complaint,False,273
Neutral,Confusion,0.6,Service Information,False,274
Positive,Gratitude,0.0,Service Information,False,275
Neutral,Confusion,0.5,Service Information,False,276
Positive,Satisfaction,0.3,Service Information,False,277
Neutral,Confusion,0.3,Service Information,False,278
Neutral,Confusion,0.6,Technical Support,False,279
Neutral,Confusion,0.7,Technical Support,False,280
Positive,Satisfaction,0.7,Service Information,False,281
Neutral,Confusion,0.4,Technical Support,False,282
Neutral,Confusion,0.6,Technical Support,False,283
Neutral,Confusion,0.6,Technical Support,False,284
Positive,Gratitude,0.2,Service Information,False,285
Neutral,Confusion,0.3,Technical Support,False,286
Positive,Neutral,0.6,Service Information,False,287
Positive,Satisfaction,0.2,Service Information,False,288
Neutral,Confusion,0.6,Technical Support,False,289
Neutral,Confusion,0.6,Technical Support,False,290
Positive,Neutral,0.6,Service Information,False,291
Negative,Frustration,0.8,Service Information,False,292
Neutral,Confusion,0.7,Technical Support,False,293
Positive,Satisfaction,0.7,Service Information,False,294
Neutral,Confusion,0.5,Service Information,False,295
Neutral,Neutral,0.5,Technical Support,False,296
Positive,Neutral,0.5,Service Information,False,297
Positive,Satisfaction,0.5,Technical Support,False,298
Positive,Satisfaction,0.3,Service Information,False,299
Negative,Frustration,0.8,Complaint,True,300
Neutral,Neutral,0.5,Billing,False,301
Positive,Satisfaction,0.4,Service Information,False,302
Negative,Frustration,0.8,Technical Support,True,303
Positive,Satisfaction,0.5,Service Information,False,304
Neutral,Confusion,0.5,Service Information,False,305
Neutral,Confusion,0.6,Technical Support,False,306
Negative,Frustration,0.9,Complaint,True,307
Neutral,Confusion,0.6,Technical Support,False,308
Neutral,Confusion,0.6,Technical Support,False,309
Positive,Confusion,1.0,Service Information,False,310
Positive,Satisfaction,0.3,Service Information,False,311
Negative,Frustration,0.7,Service Information,False,312
Negative,Frustration,0.7,Complaint,True,313
Positive,Neutral,0.6,Service Information,False,314
Positive,Satisfaction,0.7,Service Information,False,315
Positive,Satisfaction,0.2,Service Information,False,316
Neutral,Confusion,0.7,Service Information,False,317
Positive,Satisfaction,0.3,Service Information,False,318
Neutral,Confusion,0.5,Technical Support,False,319
Neutral,Confusion,0.6,Service Information,False,320
Negative,Frustration,0.8,Complaint,True,321
Positive,Satisfaction,0.5,Service Information,False,322
Neutral,Confusion,0.6,Technical Support,False,323
Neutral,Confusion,0.6,Technical Support,False,324
Negative,Anger,0.8,Complaint,True,325
Positive,Neutral,0.3,Service Information,False,326
Negative,Frustration,0.7,Complaint,True,327
Negative,Frustration,0.8,Complaint,True,328
Negative,Frustration,0.7,Complaint,True,329
Neutral,Confusion,0.6,Service Information,False,330
Neutral,Confusion,0.5,Service Information,False,331
Positive,Satisfaction,0.7,Service Information,False,332
Positive,Gratitude,0.2,Service Information,False,333
Negative,Frustration,0.8,Complaint,True,334
Neutral,Confusion,0.6,Technical Support,False,335
Negative,Frustration,0.8,Complaint,True,336
Positive,Neutral,0.7,Service Information,False,337
Neutral,Confusion,0.6,Technical Support,False,338
Neutral,Gratitude,0.5,Service Information,False,339
Neutral,Confusion,0.6,Technical Support,False,340
Positive,Satisfaction,0.0,Service Information,False,341
Neutral,Confusion,0.6,Technical Support,False,342
Neutral,Neutral,0.5,Technical Support,False,343
Neutral,Confusion,0.6,Technical Support,False,344
Negative,Frustration,0.7,Service Information,False,345
Positive,Satisfaction,0.4,Service Information,False,346
Neutral,Confusion,0.3,Service Information,False,347
Positive,Gratitude,0.6,Service Information,False,348
Negative,Frustration,0.8,Complaint,True,349
Positive,Gratitude,0.5,Service Information,False,350
Neutral,Frustration,0.7,Service Information,False,351
Neutral,Confusion,0.6,Service Information,False,352
Positive,Satisfaction,0.2,Service Information,False,353
Neutral,Confusion,0.6,Service Information,False,354
Negative,Frustration,1.0,Billing,True,355
Positive,Gratitude,0.3,Service Information,False,356
Negative,Frustration,0.8,Complaint,True,357
Positive,Satisfaction,0.7,Service Information,False,358
Neutral,Confusion,0.3,Service Information,False,359
Positive,Gratitude,0.5,Service Information,False,360
Neutral,Confusion,0.7,Complaint,False,361
Neutral,Confusion,0.6,Technical Support,False,362
Positive,Satisfaction,0.4,Service Information,False,363
Positive,Confusion,0.7,Service Information,False,364
Negative,Frustration,0.8,Complaint,True,365
Positive,Satisfaction,1.0,Service Information,False,366
Positive,Gratitude,0.8,Service Information,False,367
Neutral,Frustration,0.7,Service Information,False,368
Negative,Frustration,1.0,Complaint,True,369
Neutral,Confusion,0.5,Service Information,False,370
Negative,Frustration,0.6,Technical Support,True,371
Neutral,Confusion,0.6,Service Information,False,372
Neutral,Confusion,0.7,Technical Support,False,373
Positive,Gratitude,0.0,Service Information,False,374
Negative,Frustration,0.8,Complaint,True,375
Negative,Frustration,0.8,Complaint,True,376
Neutral,Neutral,0.5,Technical Support,False,377
Negative,Frustration,0.9,Complaint,True,378
Neutral,Confusion,0.6,Technical Support,False,379
Positive,Gratitude,0.3,Service Information,False,380
Positive,Neutral,0.3,Service Information,False,381
Neutral,Confusion,0.6,Technical Support,False,382
Neutral,Confusion,0.6,Technical Support,False,383
Positive,Neutral,0.7,Service Information,False,384
Negative,Frustration,0.9,Complaint,True,385
Neutral,Confusion,0.6,Technical Support,False,386
Neutral,Neutral,0.3,Technical Support,False,387
Positive,Neutral,0.5,Service Information,False,388
Negative,Frustration,0.8,Complaint,True,389
Negative,Frustration,0.7,Complaint,True,390
Negative,Frustration,0.8,Complaint,True,391
Positive,Satisfaction,0.3,Service Information,False,392
Neutral,Confusion,0.8,Service Information,False,393
Negative,Frustration,0.8,Technical Support,True,394
Positive,Satisfaction,0.3,Service Information,False,395
Positive,Neutral,0.3,Service Information,False,396
Neutral,Confusion,0.7,Technical Support,False,397
Positive,Satisfaction,0.5,Service Information,False,398
Negative,Frustration,0.7,Complaint,True,399
Negative,Frustration,0.7,Complaint,True,400
Positive,Satisfaction,0.8,Service Information,False,401
Neutral,Satisfaction,0.5,Service Information,False,402
Neutral,Confusion,0.7,Technical Support,False,403
Positive,Satisfaction,0.3,Service Information,False,404
Neutral,Confusion,0.6,Technical Support,False,405
Neutral,Neutral,0.5,Billing,False,406
Neutral,Confusion,0.5,Service Information,False,407
Neutral,Confusion,0.6,Technical Support,False,408
Neutral,Confusion,0.5,Service Information,False,409
Neutral,Satisfaction,0.5,Complaint,False,410
Neutral,Confusion,0.6,Technical Support,False,411
Neutral,Confusion,0.8,Technical Support,False,412
Positive,Satisfaction,0.7,Service Information,False,413
Neutral,Confusion,0.5,Service Information,False,414
Positive,Satisfaction,0.5,Service Information,False,415
Positive,Gratitude,0.3,Service Information,False,416
Negative,Frustration,0.9,Complaint,True,417
Negative,Frustration,0.5,Technical Support,True,418
Neutral,Confusion,0.7,Service Information,False,419
Neutral,Confusion,0.8,Service Information,False,420
Neutral,Confusion,0.7,Service Information,False,421
Neutral,Confusion,0.6,Technical Support,False,422
Neutral,Confusion,0.6,Technical Support,False,423
Positive,Neutral,0.1,Service Information,False,424
Negative,Confusion,0.7,Service Information,False,425
Neutral,Confusion,0.7,Service Information,False,426
Positive,Neutral,0.7,Service Information,False,427
Negative,Frustration,0.8,Technical Support,True,428
Negative,Frustration,0.8,Complaint,True,429
Positive,Satisfaction,0.0,Service Information,False,430
Neutral,Confusion,0.7,Technical Support,False,431
Positive,Neutral,0.5,Service Information,False,432
Neutral,Confusion,0.6,Technical Support,False,433
Positive,Satisfaction,0.3,Service Information,False,434
Neutral,Confusion,0.5,Service Information,False,435
Positive,Neutral,0.5,Service Information,False,436
Neutral,Neutral,0.5,Service Information,False,437
Negative,Anger,1.0,Complaint,True,438
Negative,Frustration,0.8,Service Information,False,439
Positive,Satisfaction,0.2,Service Information,False,440
Neutral,Confusion,0.4,Service Information,False,441
Positive,Satisfaction,0.2,Service Information,False,442
Neutral,Satisfaction,0.3,Service Information,False,443
Neutral,Confusion,0.5,Technical Support,False,444
Positive,Satisfaction,0.6,Service Information,False,445
Positive,Gratitude,0.5,Service Information,False,446
Negative,Frustration,0.8,Complaint,True,447
Neutral,Confusion,0.6,Technical Support,False,448
Positive,Satisfaction,0.3,Service Information,False,449
Neutral,Confusion,0.6,Technical Support,False,450
Positive,Gratitude,0.0,Service Information,False,451
Neutral,Confusion,0.6,Technical Support,False,452
Negative,Frustration,0.8,Complaint,True,453
Negative,Frustration,0.8,Complaint,True,454
Negative,Anger,0.8,Complaint,True,455
Positive,Satisfaction,0.2,Service Information,False,456
Neutral,Confusion,0.6,Technical Support,False,457
Neutral,Confusion,0.7,Billing,False,458
Positive,Gratitude,0.0,Service Information,False,459
Negative,Frustration,0.7,Technical Support,False,460
Negative,Frustration,0.7,Service Information,False,461
Neutral,Confusion,0.7,Service Information,False,462
Negative,Anger,1.0,Complaint,True,463
Positive,Satisfaction,0.6,Service Information,False,464
Neutral,Frustration,0.7,Service Information,False,465
Neutral,Confusion,0.6,Technical Support,False,466
Positive,Gratitude,0.3,Service Information,False,467
Neutral,Confusion,0.6,Technical Support,False,468
Negative,Frustration,0.8,Complaint,True,469
Negative,Frustration,0.8,Billing,True,470
Positive,Gratitude,0.2,Service Information,False,471
Neutral,Confusion,0.7,Service Information,False,472
Negative,Confusion,0.8,Service Information,False,473
Positive,Satisfaction,0.2,Service Information,False,474
Negative,Anger,0.7,Complaint,True,475
Positive,Satisfaction,0.5,Service Information,False,476
Neutral,Gratitude,0.5,Technical Support,False,477
Positive,Gratitude,0.0,Other,False,478
Neutral,Frustration,0.7,Complaint,True,479
Neutral,Confusion,0.6,Technical Support,False,480
Neutral,Confusion,0.6,Service Information,False,481
Neutral,Frustration,0.7,Service Information,False,482
Positive,Gratitude,0.1,Service Information,False,483
Neutral,Confusion,0.3,Service Information,False,484
Positive,Gratitude,0.2,Service Information,False,485
Positive,Satisfaction,0.3,Service Information,False,486
Neutral,Confusion,0.6,Technical Support,False,487
Neutral,Neutral,0.5,Billing,False,488
Positive,Neutral,0.3,Service Information,False,489
Neutral,Frustration,0.7,Service Information,False,490
Negative,Frustration,0.9,Complaint,True,491
Neutral,Confusion,0.5,Service Information,False,492
Neutral,Confusion,0.7,Service Information,False,493
Neutral,Confusion,0.5,Service Information,False,494
Neutral,Confusion,0.7,Technical Support,False,495
Positive,Neutral,0.3,Service Information,False,496
Positive,Satisfaction,0.5,Service Information,False,497
Positive,Satisfaction,0.5,Service Information,False,498
Neutral,Confusion,0.6,Technical Support,False,499
Neutral,Confusion,0.6,Technical Support,False,500
Neutral,Confusion,0.4,Billing,False,501
Neutral,Confusion,0.7,Service Information,False,502
Positive,Satisfaction,0.2,Billing,False,503
Neutral,Neutral,0.5,Billing,False,504
Neutral,Frustration,0.7,Complaint,True,505
Neutral,Confusion,0.7,Technical Support,False,506
Positive,Satisfaction,0.5,Service Information,False,507
Positive,Neutral,0.3,Service Information,False,508
Negative,Frustration,0.8,Complaint,True,509
Neutral,Confusion,0.7,Service Information,False,510
Neutral,Confusion,0.7,Service Information,False,511
Neutral,Neutral,0.5,Technical Support,False,512
Negative,Frustration,0.6,Service Information,False,513
Positive,Satisfaction,0.7,Service Information,False,514
Neutral,Confusion,0.6,Service Information,False,515
Negative,Frustration,0.7,Service Information,False,516
Neutral,Confusion,0.7,Service Information,False,517
Neutral,Confusion,0.5,Technical Support,False,518
Positive,Satisfaction,0.3,Service Information,False,519
Neutral,Confusion,0.6,Technical Support,False,520
Neutral,Confusion,0.6,Technical Support,False,521
Neutral,Confusion,0.7,Service Information,True,522
Positive,Satisfaction,0.8,Service Information,False,523
Positive,Gratitude,0.2,Service Information,False,524
Neutral,Confusion,0.3,Service Information,False,525
Positive,Satisfaction,0.7,Service Information,False,526
Positive,Gratitude,0.4,Service Information,False,527
Negative,Frustration,0.9,Complaint,True,528
Neutral,Confusion,0.7,Technical Support,False,529
Neutral,Confusion,0.6,Technical Support,False,530
Neutral,Confusion,0.6,Technical Support,False,531
Negative,Anger,0.9,Complaint,True,532
Negative,Frustration,0.8,Complaint,True,533
Neutral,Confusion,0.6,Technical Support,False,534
Negative,Frustration,0.9,Complaint,True,535
Positive,Satisfaction,0.3,Service Information,False,536
Positive,Neutral,0.5,Service Information,False,537
Positive,Neutral,0.5,Service Information,False,538
Neutral,Confusion,0.6,Technical Support,False,539
Neutral,Confusion,0.6,Service Information,False,540
Negative,Frustration,0.7,Complaint,True,541
Positive,Gratitude,0.3,Service Information,False,542
Negative,Frustration,0.9,Complaint,True,543
Neutral,Confusion,0.5,Technical Support,False,544
Neutral,Confusion,0.6,Technical Support,False,545
Negative,Frustration,0.6,Complaint,True,546
Positive,Satisfaction,0.3,Service Information,False,547
Neutral,Neutral,0.2,Service Information,False,548
Neutral,Confusion,0.7,Service Information,True,549
Neutral,Confusion,0.6,Service Information,False,550
Negative,Frustration,0.7,Complaint,True,551
Negative,Frustration,0.8,Service Information,False,552
Neutral,Confusion,0.7,Service Information,False,553
Neutral,Confusion,0.6,Technical Support,False,554
Neutral,Confusion,0.6,Technical Support,False,555
Positive,Satisfaction,0.7,Service Information,False,556
Negative,Frustration,0.6,Complaint,True,557
Neutral,Confusion,0.6,Technical Support,False,558
Positive,Neutral,0.4,Service Information,False,559
Negative,Frustration,0.6,Service Information,False,560
Neutral,Confusion,0.6,Technical Support,False,561
Neutral,Confusion,0.7,Service Information,False,562
Neutral,Confusion,0.6,Service Information,False,563
Neutral,Confusion,0.7,Service Information,False,564
Neutral,Confusion,0.6,Technical Support,False,565
Positive,Satisfaction,0.4,Service Information,False,566
Negative,Frustration,0.8,Complaint,True,567
Positive,Satisfaction,0.3,Service Information,False,568
Neutral,Frustration,0.8,Complaint,True,569
Positive,Neutral,0.5,Service Information,False,570
Positive,Confusion,0.6,Service Information,False,571
Negative,Frustration,0.8,Service Information,False,572
Positive,Gratitude,0.7,Service Information,False,573
Positive,Satisfaction,0.6,Service Information,False,574
Positive,Satisfaction,0.5,Service Information,False,575
Neutral,Confusion,0.6,Service Information,False,576
Negative,Frustration,0.7,Billing,False,577
Neutral,Confusion,0.5,Service Information,False,578
Positive,Gratitude,0.6,Service Information,False,579
Negative,Frustration,0.8,Complaint,True,580
Positive,Satisfaction,0.7,Service Information,False,581
Positive,Gratitude,0.6,Technical Support,False,582
Positive,Gratitude,0.7,Service Information,False,583
Positive,Satisfaction,0.6,Service Information,False,584
Neutral,Confusion,0.7,Service Information,False,585
Positive,Satisfaction,0.3,Service Information,False,586
Neutral,Frustration,0.8,Complaint,False,587
Neutral,Confusion,0.6,Technical Support,False,588
Positive,Neutral,0.8,Service Information,False,589
Positive,Gratitude,0.0,Service Information,False,590
Positive,Satisfaction,0.5,Service Information,False,591
Neutral,Confusion,0.7,Service Information,False,592
Positive,Satisfaction,0.4,Service Information,False,593
Positive,Neutral,0.7,Service Information,False,594
Negative,Frustration,0.9,Complaint,True,595
Negative,Confusion,0.7,Service Information,False,596
Positive,Satisfaction,0.6,Service Information,False,597
Positive,Satisfaction,0.1,Service Information,False,598
Negative,Frustration,0.8,Complaint,True,599
Positive,Gratitude,0.2,Service Information,False,600
Positive,Neutral,0.3,Service Information,False,601
Positive,Neutral,0.3,Service Information,False,602
